Branch,Customer,Inv Number,Inv Status,Req Amt,App Amt,Inv Created,Inv Issue
SLC,Amazon,V30096663,Raymond Paid,120.0,120.0,01-05-2021,No
SLC,Home Depot,V30096723,Raymond Paid,135.13,135.13,01-05-2021,No
SLC,Home Depot,V30096630,Raymond Paid,159.13,159.13,01-05-2021,No
SLC,Home Depot,V30096631,Raymond Paid,195.23,195.23,01-05-2021,No
SLC,Amazon,V30096681,Raymond Paid,410.0,410.0,01-05-2021,No
SLC,Amazon,V30096682,Raymond Paid,410.0,410.0,01-05-2021,No
SLC,Home Depot,V30096722,Raymond Paid,605.32,605.32,01-05-2021,No
SLC,Home Depot,V30096628,Raymond Paid,779.05,779.05,01-05-2021,No
SLC,Amazon,V30096664,Raymond Paid,2340.0,2340.0,01-05-2021,No
SLC,GXO Logistics,V30096680,Raymond Paid,3479.95,3479.95,01-05-2021,No
DEN,Amazon,V10308761,Raymond Paid,97.16,97.16,01-06-2021,No
DEN,Amazon,V10308772,Raymond Paid,135.0,135.0,01-06-2021,No
DEN,Amazon,V10308789,Raymond Paid,180.0,180.0,01-06-2021,No
DEN,Amazon,V10308791,Raymond Paid,339.6,339.6,01-06-2021,No
DEN,Walmart,V10308966,Raymond Paid,56.0,56.0,01-07-2021,No
DEN,Walmart,V10308968,Raymond Paid,64.0,64.0,01-07-2021,No
DEN,Amazon,V10308926,Raymond Paid,75.0,75.0,01-07-2021,No
DEN,Home Depot,V10308948,Raymond Paid,77.5,77.5,01-07-2021,No
DEN,Amazon,V10308925,Raymond Paid,80.0,80.0,01-07-2021,No
DEN,Home Depot,V10308946,Raymond Paid,85.0,85.0,01-07-2021,No
DEN,Medline,V10308964,Raymond Paid,89.78,89.78,01-07-2021,No
DEN,Walmart,V10308938,Raymond Paid,113.6,113.6,01-07-2021,No
DEN,Walmart,V10308973,Raymond Paid,129.6,129.6,01-07-2021,No
SLC,Medline,V30096800,Raymond Paid,40.0,40.0,01-08-2021,No
SLC,Medline,V30096803,Raymond Paid,40.0,40.0,01-08-2021,No
SLC,Medline,V30096802,Raymond Paid,50.0,50.0,01-08-2021,No
DEN,Walmart,V10309056,Raymond Paid,167.48,167.48,01-08-2021,No
SLC,Amazon,V30096798,Raymond Paid,292.5,292.5,01-08-2021,No
SLC,DHL,V30096878,Raymond Paid,55.0,55.0,01-11-2021,No
DEN,HD Pro,V10309110,Raymond Paid,60.26,60.26,01-11-2021,No
DEN,HD Supply,V10309094,Raymond Paid,114.93,114.93,01-11-2021,No
DEN,KeHE,V10309118,Raymond Paid,133.0,133.0,01-11-2021,No
DEN,Wayfair,V10309112,Raymond Paid,400.0,400.0,01-11-2021,No
SLC,Home Depot,V30096880,Raymond Paid,428.47,428.47,01-11-2021,No
DEN,KeHE,V10309120,Raymond Paid,631.75,631.75,01-11-2021,No
SLC,Home Depot,V30096879,Raymond Paid,978.26,978.26,01-11-2021,No
SLC,Amazon,V10309131,Raymond Paid,1375.0,1375.0,01-11-2021,No
DEN,Amazon,V10309129,Raymond Paid,3580.0,3580.0,01-11-2021,No
SLC,DHL,V30096908,Raymond Paid,55.0,55.0,01-12-2021,No
SLC,DHL,V30096909,Raymond Paid,55.0,55.0,01-12-2021,No
DEN,Petco,V10309240,Raymond Paid,65.0,65.0,01-12-2021,No
DEN,Petco,V10309241,Raymond Paid,65.0,65.0,01-12-2021,No
DEN,Home Depot,V10309283,Raymond Paid,119.27,119.27,01-12-2021,No
DEN,Sam's Club,V10309273,Raymond Paid,149.85,149.85,01-12-2021,No
DEN,Mattress Firm,V10309255,Raymond Paid,179.55,179.55,01-12-2021,No
DEN,HD Supply,V10309228,Raymond Paid,324.59,324.59,01-12-2021,No
DEN,Mattress Firm,V10309295,Raymond Paid,343.55,343.55,01-12-2021,No
DEN,Wayfair,V10309239,Raymond Paid,367.42,367.42,01-12-2021,No
DEN,Walmart,V10309216,Raymond Paid,464.65,464.65,01-12-2021,No
DEN,Walmart,V10309223,Raymond Paid,562.59,562.59,01-12-2021,No
