Billing Group,Invoice Status,Servicing Dealer,Dealer Invoice,Requested Amount,Approved Amount,Invoice Create Date,Invoice Issue?
 HD,Raymond Paid,60791,V30096632,85,85,01-05-2021,Yes
 AZ,Raymond Paid,60791,V30096663,120,120,01-05-2021,No
 HD,Raymond Paid,60791,V30096723,135.13,135.13,01-05-2021,No
 HD,Raymond Paid,60791,V30096630,159.13,159.13,01-05-2021,No
 HD,Raymond Paid,60791,V30096631,195.23,195.23,01-05-2021,No
 WM,Raymond Paid,60791,V30096730,203.5,203.5,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096520,250,250,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096735,250,250,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096200,255.77,255.77,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096725,356.25,356.25,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096734,356.25,356.25,01-05-2021,Yes
 AZ,Raymond Paid,60791,V30096681,410,410,01-05-2021,No
 AZ,Raymond Paid,60791,V30096682,410,410,01-05-2021,No
 WM,Raymond Paid,60791,V30096731,429.25,429.25,01-05-2021,Yes
 HD,Raymond Paid,60791,V30096629,435.62,435.62,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096732,488.29,488.29,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096729,491,491,01-05-2021,Yes
 HD,Raymond Paid,60791,V30096722,605.32,605.32,01-05-2021,No
 HD,Raymond Paid,60791,V30096628,779.05,779.05,01-05-2021,No
 AZ,Raymond Paid,60791,V30096737,932.36,932.36,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096724,1012.43,1012.43,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096733,1273.36,1273.36,01-05-2021,Yes
 AZ,Raymond Paid,60791,V30096664,2340,2340,01-05-2021,No
 XPO,Raymond Paid,60791,V30096680,3479.95,3479.95,01-05-2021,No
 AZ,Reversed - Final,60791,V30096661,1111.22,0,01-05-2021,Yes
 AZ,Raymond Paid,60790,V10308780,90,90,01-06-2021,Yes
