Branch,Customer Name,Invoice,Work Order, QW Total , SAP Total , Discrepancy ,Cause,Dept Impacted,Date
ABQ,Aramsco,V40006178,B4004377,3717.77,3717.80,0.03,Entry Error - Labor Quantity,Mountain Power,10/01/21
ABQ,Aramsco,V40006178,B4004377,3717.77,3717.80,237.83,Entry Error - Misc Charge,Mountain Power,10/01/21
ABQ,Aramsco,V40006178,B4004377,3717.77,3717.80,-237.83,Tax,Mountain Power,10/01/21
ABQ,Baker Distributing,V20078445,SM2036978,152.87,152.13,-0.74,Part Pricing - Raymond,Service,02/01/21
ABQ,Baker Distributing,V20078505,SM2036979,182.91,182.40,-0.51,Part Pricing - Raymond,Service,02/03/21
ABQ,Baker Distributing,V20083238,SM2038832,137.45,136.68,-0.77,Part Pricing - Raymond,Service,08/19/21
ABQ,Bunzl,V20078096,C2020741,84.06,76.40,-7.66,Part Pricing - Raymond,Parts,02/12/21
ABQ,Bunzl,V20081812,W240828,401.80,285.24,-115.50,Cust Dispute Lbr Amt,Service,06/15/21
ABQ,Bunzl,V20082232,W240733,964.02,1015.56,51.54,Entry Error - Freight,Service,07/02/21
ABQ,Bunzl,V20080110,SM2037381,82.29,74.16,-7.39,Entry Error - Part Pricing,Service,04/07/21
ABQ,Bunzl,V20084660,SM2039620,70.53,65.00,-5.53,Environmental Fee,Service,10/07/21
ABQ,Bunzl,V20079157,W239461,218.21,163.21,-55.00,Incorrect Labor Rate,Service,03/19/21
ABQ,Bunzl,V20080776,W240268,457.14,345.10,-91.00,Incorrect Labor Rate,Service,05/12/21
ABQ,Bunzl,V20080893,W240299,161.25,96.25,-65.00,Incorrect Labor Rate,Service,05/12/21
ABQ,Bunzl,V20081889,W240849,161.25,96.25,-65.00,Incorrect Labor Rate,Service,07/02/21
ABQ,Bunzl,V20082210,W241159,64.50,38.50,-26.00,Incorrect Labor Rate,Service,07/02/21
ABQ,Bunzl,V20084259,W242358,64.50,38.50,-26.00,Incorrect Labor Rate,Service,10/05/21
ABQ,Bunzl,V20084798,W242637,161.25,96.25,-65.00,Incorrect Labor Rate,Service,10/14/21
ABQ,Bunzl,V20084831,W242656,96.75,57.75,-39.00,Incorrect Labor Rate,Service,10/14/21
ABQ,Bunzl,V20079704,W239635,240.74,231.10,-9.64,Part Pricing - Raymond,Service,03/26/21
ABQ,Bunzl,V20080110,SM2037381,82.29,74.16,-0.74,Part Pricing - Raymond,Service,04/07/21
ABQ,Bunzl,V20080107,SM2037379,79.12,78.38,-0.74,Part Pricing - Raymond,Service,04/14/21
ABQ,Bunzl,V20080777,W240261,217.03,216.55,-0.48,Part Pricing - Raymond,Service,05/12/21
ABQ,Bunzl,V20080776,W240268,457.14,345.10,-21.04,Part Pricing - Raymond,Service,05/12/21
ABQ,Bunzl,V20081812,W240828,401.80,285.24,-1.06,Part Pricing - Raymond,Service,06/15/21
ABQ,Bunzl,V20083316,W241642,314.89,305.05,-9.84,Part Pricing - Raymond,Service,08/19/21
ABQ,Bunzl,V20078561,W239193,868.93,811.18,-57.75,Travel Rate,Service,02/03/21
ABQ,Costco,V20078095,W238810,1811.06,1720.02,-39.64,Entry Error - Travel Rate,Service,01/26/21
ABQ,Costco,V20084343,W242317,834.95,696.60,-77.40,Incorrect Labor Rate,Service,10/05/21
ABQ,Costco,V20084395,W242203,64.50,58.05,-6.45,Incorrect Labor Rate,Service,10/05/21
ABQ,Costco,V20078920,SM2037217,242.52,90.00,-152.52,Incorrect PM Rate,Service,02/25/21
ABQ,Costco,V20081918,SM2038531,242.52,90.00,-152.52,Incorrect PM Rate,Service,07/02/21
ABQ,Costco,V20082099,SM2038533,242.52,90.00,-152.52,Incorrect PM Rate,Service,07/02/21
ABQ,Costco,V20082100,SM2038532,243.67,306.52,62.85,Incorrect PM Rate,Service,07/02/21
ABQ,Costco,V20078095,W238810,1811.06,1720.02,-51.40,Part Pricing - Raymond,Service,01/26/21
ABQ,Costco,V20078853,W239337,1238.67,1162.55,-76.12,Part Pricing - Raymond,Service,02/25/21
ABQ,Costco,V20080676,W239894,1236.86,1187.22,-49.64,Part Pricing - Raymond,Service,04/29/21
ABQ,Costco,V20084343,W242317,834.95,696.60,-60.95,Tax,Service,10/05/21
ABQ,Costco,V20083695,SM2039255,242.52,76.63,-165.89,Incorrect PM Rate,Service,09/01/21
ABQ,Costco,V20083699,SM2039259,242.52,512.16,269.64,Incorrect PM Rate,Service,09/01/21
ABQ,Costco,V20083702,W242039,191.56,0.00,-191.56,Unpaid - Cancel Status,Service,09/01/21
ABQ,Costco,V20083711,SM2039257,242.52,481.12,238.60,Incorrect PM Rate,Service,09/01/21
ABQ,Costco,V20084812,SM2039714,242.52,90.00,-152.52,Incorrect PM Rate,Service,10/14/21
ABQ,Costco,V20084813,SM2039715,229.53,514.10,284.57,Incorrect PM Rate,Service,10/14/21
ABQ,Costco,V20084814,SM2039716,242.52,719.74,477.22,Incorrect PM Rate,Service,10/14/21
ABQ,Costco,V20084815,SM2039717,250.89,649.90,407.38,Incorrect PM Rate,Service,10/14/21
ABQ,Costco,V20084815,SM2039717,250.89,649.90,-8.37,Consumables,Service,10/14/21
ABQ,Costco,V20084816,SM2039718,242.52,690.64,448.12,Incorrect PM Rate,Service,10/14/21
ABQ,Costco,V20085280,W242853,673.77,651.52,-22.22,Part Pricing - Raymond,Service,10/27/21
ABQ,Costco,V20085280,W242853,673.77,651.52,-0.03,Entry Error - Travel Rate,Service,10/27/21
ABQ,Costco,V20085279,W242732,1255.14,1234.91,-20.24,Part Pricing - Raymond,Service,10/27/21
ABQ,Costco,V20085054,W242597,1306.82,1306.52,-0.30,Part Pricing - Raymond,Service,10/27/21
ABQ,Costco,V20085521,W242370,1193.08,1056.69,-77.40,Incorrect Labor Rate,Service,11/03/21
ABQ,Costco,V20085521,W242370,1193.08,1056.69,-33.49,Part Pricing - Raymond,Service,11/03/21
ABQ,Costco,V20085521,W242370,1193.08,1056.69,-25.50,Entry Error - Part Quantity,Service,11/03/21
ABQ,Home Depot,V20080772,SM2038008,89.14,75.00,-14.14,Consumables,Service,05/12/21
ABQ,Home Depot,V20080766,SM2038009,93.42,85.00,-8.42,Consumables,Service,05/12/21
ABQ,Home Depot,V20078101,W238839,634.22,443.40,-283.14,Entry Error - Labor Quantity,Service,01/26/21
ABQ,Home Depot,V20079693,W239638,258.24,221.07,-39.79,Entry Error - Labor Quantity,Service,03/26/21
ABQ,Home Depot,V20078101,W238839,634.22,443.40,121.00,Entry Error - Part Quantity,Service,01/26/21
ABQ,Home Depot,V20079693,W239638,258.24,221.07,2.62,Incorrect Labor Rate,Service,03/26/21
ABQ,Home Depot,V20078538,W239215,174.24,138.43,1.31,Incorrect Labor Rate,Service,03/30/21
ABQ,Home Depot,V20079935,W239897,511.25,459.39,3.93,Incorrect Labor Rate,Service,04/07/21
ABQ,Home Depot,V20080918,W240349,375.19,282.90,-71.00,Incorrect Labor Rate,Service,05/28/21
ABQ,Home Depot,V20081402,W240666,208.34,182.86,1.64,Incorrect Labor Rate,Service,06/09/21
ABQ,Home Depot,V20081416,W240688,419.74,408.38,1.97,Incorrect Labor Rate,Service,06/09/21
ABQ,Home Depot,V20081628,W240790,414.15,468.65,57.15,Incorrect Labor Rate,Service,06/09/21
ABQ,Home Depot,V20081456,W240716,67.71,76.17,2.63,Incorrect Labor Rate,Service,06/15/21
ABQ,Home Depot,V20082037,W241096,121.17,122.15,0.98,Incorrect Labor Rate,Service,07/02/21
ABQ,Home Depot,V20082124,W241147,175.51,199.97,18.63,Incorrect Labor Rate,Service,07/02/21
ABQ,Home Depot,V20082425,W241239,858.79,830.60,5.24,Incorrect Labor Rate,Service,07/21/21
ABQ,Home Depot,V20082464,W241273,683.01,584.02,3.93,Incorrect Labor Rate,Service,07/21/21
ABQ,Home Depot,V20078101,W238839,634.22,443.40,-28.68,Part Pricing - Raymond,Service,01/26/21
ABQ,Home Depot,V20078584,W239224,362.80,356.75,-6.05,Part Pricing - Raymond,Service,02/24/21
ABQ,Home Depot,V20079935,W239897,511.25,459.39,-55.79,Part Pricing - Raymond,Service,04/07/21
ABQ,Home Depot,V20080918,W240349,375.19,282.90,-27.12,Part Pricing - Raymond,Service,05/28/21
ABQ,Home Depot,V20081402,W240666,208.34,182.86,-27.12,Part Pricing - Raymond,Service,06/09/21
ABQ,Home Depot,V20081416,W240688,419.74,408.38,-19.16,Part Pricing - Raymond,Service,06/09/21
ABQ,Home Depot,V20081628,W240790,414.15,468.65,-2.65,Part Pricing - Raymond,Service,06/09/21
ABQ,Home Depot,V20081825,W240873,416.18,410.07,-6.11,Part Pricing - Raymond,Service,06/15/21
ABQ,Home Depot,V20082425,W241239,858.79,830.60,-39.26,Part Pricing - Raymond,Service,07/21/21
ABQ,Home Depot,V20082464,W241273,683.01,584.02,-108.75,Part Pricing - Raymond,Service,07/21/21
ABQ,Home Depot,V20082757,W241433,295.58,200.23,-1.18,Part Pricing - Raymond,Service,07/23/21
ABQ,Home Depot,V20082755,W241442,478.63,374.99,-9.47,Part Pricing - Raymond,Service,07/23/21
ABQ,Home Depot,V20084081,W242226,977.41,938.16,-39.26,Part Pricing - Raymond,Service,10/05/21
ABQ,Home Depot,V20084166,W242319,283.34,250.10,-33.24,Part Pricing - Raymond,Service,10/05/21
ABQ,Home Depot,V20078832,W239371,242.90,227.56,-15.34,Travel Rate,Service,02/25/21
ABQ,Home Depot,V20078538,W239215,174.24,138.43,-37.12,Travel Rate,Service,03/30/21
ABQ,Home Depot,V20080918,W240349,375.19,282.90,5.83,Travel Rate,Service,05/28/21
ABQ,Home Depot,V20081416,W240688,419.74,408.38,5.83,Travel Rate,Service,06/09/21
ABQ,Home Depot,V20081456,W240716,67.71,76.17,5.83,Travel Rate,Service,06/15/21
ABQ,Home Depot,V20082124,W241147,175.51,199.97,5.83,Travel Rate,Service,07/02/21
